07:28:51 [INFO] Found netvar: m_iEntityQuality => 0x2FAC
07:28:51 [INFO] Found netvar: m_iFOVStart => 0x31E8
07:28:51 [INFO] Found netvar: m_iFOV => 0x31E4
07:28:51 [INFO] Found netvar: m_iGlowIndex => 0xA420
07:28:51 [INFO] Found netvar: m_iHealth => 0x100
07:28:51 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
07:28:51 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
07:28:51 [INFO] Found netvar: m_iObserverMode => 0x3378
07:28:51 [INFO] Found netvar: m_iShotsFired => 0xA390
07:28:51 [INFO] Found netvar: m_iState => 0x3258
07:28:51 [INFO] Found netvar: m_iTeamNum => 0xF4
07:28:51 [INFO] Found netvar: m_lifeState => 0x25F
07:28:51 [INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
07:28:51 [INFO] Found netvar: m_nFallbackSeed => 0x31CC
07:28:51 [INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
07:28:51 [INFO] Found netvar: m_nForceBone => 0x268C
07:28:51 [INFO] Found netvar: m_nTickBase => 0x3430
07:28:51 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
07:28:51 [INFO] Found netvar: m_szCustomName => 0x303C
07:28:51 [INFO] Found netvar: m_szLastPlaceName => 0x35B4
07:28:51 [INFO] Found netvar: m_vecOrigin => 0x138
07:28:51 [INFO] Found netvar: m_vecVelocity => 0x114
07:28:51 [INFO] Found netvar: m_vecViewOffset => 0x108
07:28:51 [INFO] Found netvar: m_viewPunchAngle => 0x3020
07:28:51 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31D4
07:28:51 [INFO] Found netvar: m_clrRender => 0x70
07:28:51 [INFO] Found netvar: m_flC4Blow => 0x2990
07:28:51 [INFO] Found netvar: m_flTimerLength => 0x2994
07:28:51 [INFO] Found netvar: m_flDefuseLength => 0x29A8
07:28:51 [INFO] Found netvar: m_flDefuseCountDown => 0x29AC
07:28:51 [INFO] Found netvar: cs_gamerules_data => 0x0
07:28:51 [INFO] Found netvar: m_SurvivalRules => 0xD00
07:28:51 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
07:28:51 [INFO] Found netvar: m_bIsValveDS => 0x7C
07:28:51 [INFO] Found netvar: m_bFreezePeriod => 0x20
07:28:51 [INFO] Found netvar: m_bBombPlanted => 0x9A5
07:28:51 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
07:28:51 [INFO] Found netvar: m_flSimulationTime => 0x268
07:28:51 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x3A90
07:28:51 [INFO] Found netvar: m_angEyeAnglesX => 0xB37C
07:28:51 [INFO] Found netvar: m_angEyeAnglesY => 0xB380
07:28:51 [INFO] Found netvar: m_flNextAttack => 0x2D70
07:28:51 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
07:28:51 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28BC
07:28:51 [INFO] Found netvar: m_bStartedArming => 0x33F0
07:28:51 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
07:28:51 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
07:28:51 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
07:28:51 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
07:28:51 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
07:28:51 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
07:28:51 [INFO] Finished netvar scanning: 85/85 items successful
07:19:58 [INFO] Opening target process: csgo.exe
07:19:58 [INFO] Starting signature scanning: 57 items
07:19:58 [INFO] Found signature: dwClientState => 0x58EFE4
